filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
batch0.fast5	5facc6be-60b2-4389-989e-41799edf470c	cfdce6c29459902087db9c061c151e9b0bf3f94a	0	9	3	41309.409363	9.604250	2892	TRUE	41311.272244	2331	7.741368	517	10.022261	0.000000	101.139854	13.766258	101.139854	13.766258
batch0.fast5	60631f90-409b-4a8b-aa03-e6a56e4f374c	cfdce6c29459902087db9c061c151e9b0bf3f94a	0	202	4	10493.018924	14.732736	4437	TRUE	10495.755644	3613	11.996016	634	11.914991	0.000000	100.718445	13.625787	100.718445	13.625787
batch0.fast5	618404c8-afb2-4500-be62-1326b2983f7c	cfdce6c29459902087db9c061c151e9b0bf3f94a	0	326	4	41542.671979	6.198871	1867	TRUE	41545.237052	1094	3.633798	282	9.390950	0.000000	113.782341	12.080594	113.782341	12.080594
batch0.fast5	61ca800b-e768-4b31-adf1-5e67bc235b7a	cfdce6c29459902087db9c061c151e9b0bf3f94a	0	202	4	10511.611222	15.623506	4705	TRUE	10513.758632	4059	13.476096	948	10.968761	0.000000	97.347115	13.204370	97.347115	13.204370
batch0.fast5	687d111e-5dba-455f-9f2a-3745aaf11fda	cfdce6c29459902087db9c061c151e9b0bf3f94a	0	447	3	41488.258632	8.730744	2629	TRUE	41490.108566	2072	6.880810	225	9.252235	0.000000	115.889420	12.502010	115.889420	12.502010
batch0.fast5	68b4bcc0-437c-44ac-94c6-9e784a5e0545	cfdce6c29459902087db9c061c151e9b0bf3f94a	0	26	3	10466.231740	16.309429	4912	TRUE	10467.292829	4592	15.248340	1306	8.783264	0.000000	95.520973	13.906731	95.520973	13.906731
batch0.fast5	68e70cf9-a3bd-4db1-9c50-8f5907649a8c	cfdce6c29459902087db9c061c151e9b0bf3f94a	0	187	3	10568.979084	46.512948	14009	TRUE	10569.431607	13873	46.060425	1404	9.378943	0.000000	93.132950	11.097290	93.132950	11.097290
batch0.fast5	6a055402-caa9-4ae5-8c6f-4860acf8ca93	cfdce6c29459902087db9c061c151e9b0bf3f94a	0	487	3	41091.150398	8.938579	2692	TRUE	41091.299801	2647	8.789177	607	9.052114	0.000000	93.273422	10.675874	93.273422	10.675874
batch0.fast5	6cde4dad-7ed2-4475-b0e0-5e9f70eaf126	cfdce6c29459902087db9c061c151e9b0bf3f94a	0	294	3	41599.257968	7.679615	2313	TRUE	41599.412683	2266	7.524900	415	8.958094	0.000000	93.554367	12.502010	93.554367	12.502010
batch0.fast5	6e929078-58a4-4400-adf6-76ac7e1fbb50	cfdce6c29459902087db9c061c151e9b0bf3f94a	0	107	1	14138.303453	13.583997	4091	TRUE	14139.997676	3581	11.889774	952	11.781177	0.000000	99.735138	14.187675	99.735138	14.187675
