filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
batch0.fast5	a9026ff0-c167-4e7d-800c-4420383aca67	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	17	3	30358.306441	12.532205	3774	TRUE	30361.518924	2807	9.319721	310	8.628312	0.000000	102.960320	14.547206	102.960320	14.547206
batch0.fast5	a9068508-c326-46de-bdcb-8aecd4c83878	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	278	2	30234.738048	13.616202	4101	TRUE	30236.758300	3492	11.595950	482	7.519151	0.000000	107.479843	15.394616	107.479843	15.394616
batch0.fast5	a9bc7400-a362-4186-83ae-fd6068026658	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	396	2	74491.067065	19.896082	5992	TRUE	74491.223772	5945	19.739376	1345	8.204220	0.000000	111.010719	13.982265	111.010719	13.982265
batch0.fast5	a9db7b10-0cde-4382-b9bf-2f1dda918f50	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	294	4	30344.624834	26.188911	7888	TRUE	30344.779216	7841	26.034529	1340	8.232434	0.000000	99.994385	11.581271	99.994385	11.581271
batch0.fast5	aa18c456-894f-4f7c-ae1a-9cd9fe586af9	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	289	1	74573.443559	18.961819	5711	TRUE	74574.963811	5253	17.441567	659	7.865851	0.000000	99.146973	12.287446	99.146973	12.287446
batch0.fast5	ae2d17ca-901a-4e58-a1e4-50b56d5ef93c	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	8	2	30339.915007	19.466799	5863	TRUE	30340.047809	5823	19.333997	1203	7.290946	0.000000	101.547974	11.157566	101.547974	11.157566
batch0.fast5	aed14892-f2f2-4010-8f76-9035ad273923	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	246	2	30318.073373	11.322377	3410	TRUE	30318.206175	3370	11.189575	669	7.956580	0.000000	99.429443	13.699796	99.429443	13.699796
batch0.fast5	afb58337-2cda-43ae-b0e6-ca6f5b508237	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	474	3	74639.466799	10.882470	3277	TRUE	74639.621514	3231	10.727756	545	7.546285	0.000000	100.559326	12.852386	100.559326	12.852386
batch0.fast5	aff808fa-fc3f-4b4a-a797-dfe1e0bd4277	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	123	2	30298.239708	18.164675	5471	TRUE	30298.456839	5405	17.947543	779	7.999807	0.000000	102.819084	12.004975	102.819084	12.004975
batch0.fast5	b30911d9-0a39-4a69-9d7f-12b8b856604c	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	1	4	74630.318393	19.454515	5859	TRUE	74632.192895	5295	17.580013	1041	7.617360	0.000000	106.914902	13.276091	106.914902	13.276091
